originals		names
东方风神录		Fly me to the moon 2
猎人		真红的少年
日在校园		It's only a fairy tale
格斗之王		s束をしよう
化物语		相遇天使 2
美少女战士		U.Nオ`エンは彼女なのか 
东方星莲船		三目童子OST
坦克大战		月计时
"云之彼端,约定的地方"		No buts
D		恋爱サ キュレ ション
地下城与勇士		人生的旋转木马 2
魔女宅急便		通关
海绵宝宝		手舞足蹈
Little Busters!		God knows
恶魔城		那天的河川
NICO		Pure white story
灼眼的夏娜		你的声音
星之卡比		Impatience
红猪		魂魄之挽歌G调
灌篮高手		夏夕空 2
小丸子		遥か彼方
幽灵公主		想い出はhくの日々(回忆遥远的往昔)
东方Project		リフレクティア(Reflectia)
龙猫		素敌だね 完美版
天空之城		キミがくれたもの(你给我的东西)
Supercell		月灯り
男子高中生的日常		Brave Song tv.side
花水木		歌に形はないけれど(虽然歌声无形)
哈尔的移动城堡		空に光る(空之光)
泡泡堂		君の知らない物Z
来自风平浪静的明天		君と太阳が死んだ日
Kanon		坚定少女的心
命运石之门		亡き王女の为のセプテット
深夜食堂		有梦好甜蜜 2
俄罗斯方块		旅的途中 2
缘之空		o何有の_
好想告诉你		月まで届け、不死の
东方萃梦想		神々が恋した幻想乡
潘多拉之心		Reminisce
四月是你的谎言		Rumbling hearts
V家		マトリョシカ(俄罗斯套娃)
邻座的怪同学		ありがとうあなた
EVA		世界之歌
CLANNAD		lament of the highborne
海贼王		回想录
Little busters		风的传说 2
拳皇99		遥远的彼方
冰雪奇缘		一休和尚
最终幻想		梭巡
魂斗罗		Liar Mask
浪漫满屋		上弦の月
神不在的星期天		给我一双翅膀
吸血鬼骑士		夏影
风见学园		ふ?れ?ん?ど?し?た?い(想要成为好朋友)
壳之少女		蓝染
真实之泪		Cerebrawl
魔力女管家		Lilium 3
LoveLive!		片尾曲
妖精的尾巴		To Zanarkand 2
俺妹		小小的手心
夏目友人帐		空之轨迹3BGM
空之境界		我的恋爱就像订书机
虫师		alliance tavern
魔法禁书目录		菊次郎的夏天
圣斗士		しさの足音(温柔的脚步声)
高达		青い空に出逢えた
AKB48		归途
魔法少女小圆		玻璃镜之梦
君が望む永h		簸污E
银魂		苏菲的城堡
水星领航员		文学少女
黑猫警长		厄神の通り道
穿越时空的少女		魂魄之挽歌C调
鬼泣		dragon roost island
Fate Stay Night		Irony 2
白色相簿2		空に光る 2
口袋妖怪		Connect  by武士桑
美少女梦工厂4		It's only a fairy tale 2
超电磁炮		红莲の弓矢
棋魂		邻家的龙猫
学园默示录		境界的彼方
黑猫		Konoha Peace(和平的木叶)
钢炼		Face
东方地灵殿		我的舞台
驱魔少年		比翼の羽根
石原贵雅		年中梦中の好奇心
Angel Beats!		オセンチなi美(伤感的步美)
柯南		Sky chord
三目童子		欢乐岛
风之谷		だまりにて和む猫(阳光下躺着的猫)
东方妖妖梦		LEVEL5-Judgelight
狼与香辛料		葫芦娃
跑跑卡丁车		OST10
塞尔达传说		The floating imperial city
青空下的约定		思ひで
水果篮子		v眼のジェラシ`
龙与虎		temple of the moon
七彩素描		甩葱歌 完美版
月刊少女野崎君		Risky Game
大力水手		最终幻想胜利
起风了		ネイティブフェイス
轻音		オレンジが落ちていくr(橘子坠落之时)
我为歌狂		大贫民
狼与辛香料		そばかす
我的青春恋爱物语果然有问题		slaughtered lamb
秒速五厘米		AbLib Ⅱ
金刚葫芦娃		坚定少女的心 2
龙珠		放n後ストライド
Beck		Tender Surrender
蔷薇少女		战场原Staple Stable
东方红魔乡		secret base ～君がくれたもの
未闻花名		night of knights
全金属狂潮		Grasswalk 2
魔兽世界		Cha la head cha la
喜羊羊与灰太狼		白い雪のプリンセスは
天降之物		Connect 2
彩云国物语		亡灵序曲
无双大蛇		コンプリケイション
Air		Time after time～花舞う街で～
菊次郎的夏天		远野幻想物语
死神		るから
阳炎Project		你在我身边
相聚一刻		Planetes
变态王子与不笑猫		Gate of Steiner
舞-HiME		The Maid and the Pocket Watch of Blood
浪客剑心		ひこうき(飞机云)
NBA		直到世界的尽头
寂静岭		Dear my friend
犬夜叉		一番の宝物
初音未来		团子大家族
无头骑士异闻录		The Sore Feet Song 2
秦时明月		素敌だね 2
东方三月精		东风
妖精的旋律		予感
空之轨迹		Graze the Roof 2
进击的巨人		残酷的天使纲领
Fate Zero		那就是爱吧
东方永夜抄		美しき残酷な世界(美丽而残酷的世界)
植物大战僵尸		Slip Outs
斩!赤红之瞳		快乐合成器  by武士桑
反叛的鲁鲁修		风之涌道
聪明的一休		みくるのこころ
漫画家与助手		日々(日子)
劲乐团		she
火影		鸟之诗 by谀懿三
哆啦A梦		风之涌道  by南泽大介
路人女主的养成方法		叹息之森
东方梦时空		夕日坂
学园孤岛		For fruits basket
舞-HIME		みどりのピザ
中华小当家		Spica
血凝		原谅我
数码宝贝		Remilia
境界的彼方		心の旋律
东方花映冢		かくれんぼ
罪恶王冠		那天的河川 2
三国志		星之所在 2
花舞少女		相思花
寒蝉鸣泣之时		空は高くLは歌う
扑杀天使		幻化成风
一周的朋友		Life is Like a Boat 2
加勒比海盗		メグメル(幻想)
蜘蛛侠		Fields of Hope
花开伊吕波		シンデレラケ`ジ
Narcissu		英雄的黎明
千与千寻		坦克大战开场曲
美少女梦工场4		Look at the sky
Tari Tari		拉普达
凉宫		Merry Christmas Mr.Lawrence  by 武士桑
东方绯想天则		Life is Like a Boat
精灵世纪		星之卡比BGM
女生爱女生		素敌だね
地狱少女		色は訾丐缮りぬるを
Null		昔日友人
Null		Sadness and sorrow 2
Null		Lost Painting
Null		Bad apple
Null		残酷的天使纲领  by南泽大介
Null		Song for friends
Null		光
Null		LET IT GO  by武士桑
Null		ハナミズキ
Null		"One more time,One more chance 2"
Null		きみが呼ぶなまえ～簸韦膜扭～
Null		Time after time～花舞う街で～ 2
Null		ひまわりの约束(向日葵的约定)
Null		Innocent days
Null		能看见海的城市
Null		Lilium
Null		Melodies of life 2
Null		Kyo
Null		いとはかなし 2
Null		Letter Song(致十年后的我)
Null		メイドと血の中时计
Null		晴天好心情 2
Null		POWDER SNOW
Null		喜羊羊与灰太狼主题曲
Null		有梦好甜蜜
Null		夜明け
Null		OP
Null		かしき|方の血
Null		银色
Null		Tell Your World 2
Null		月光传说
Null		旅の途中
Null		幽雅に笑かせ、墨染の樱  GP6处理版
Null		跑跑卡丁车开场曲
Null		光るなら
Null		ふたつの鼓动と赤い罪
Null		陆行鸟 by南泽大介
Null		校歌
Null		只要有你
Null		幻化成风 2
Null		"Komm,susser tod"
Null		Breezy
Null		绯色之空
Null		Memory
Null		End theme
Null		Brave Song
Null		Spider man
Null		Butterfly
Null		记忆の消失
Null		空の境界
Null		ラストリモ`ト
Null		Pure white story 2
Null		春色小径
Null		Lunadial
Null		兄弟 2
Null		Alone
Null		汐
Null		风一样的勇士
Null		夕阳坂
Null		菠菜进行曲
Null		碎月
Null		一番の宝物 2
Null		ebb and flow ray
Null		同じ空の下で
Null		Untitled Soundtrack
Null		He's a Pirate
Null		The Road To The Valley
Null		母亲的扫帚
Null		Loss of me
Null		风のアルペジオ
Null		轻飘飘的时间
Null		信仰はき人gの椁
Null		插曲
Null		甩葱歌
Null		泰达的旋律
Null		@ノ雨(樱之雨)
Null		相遇天使
Null		My Song
Null		どれだけ希望を持ったのか
Null		道に迷う子供
Null		Tears of
Null		アシタカせっ
Null		Last Regrets
Null		Lilium 修改版
Null		ぼくらのレットイットビ`(Our Let It Be)
Null		Where amazing happens
Null		Limpid luster
Null		Lilium 2
Null		karazhan
Null		君じゃなきゃダメみたい(似乎不是你就不行的样子)
Null		gallows end
Null		樱桃成熟时
Null		Promise
Null		Just be friends
Null		风之涌道  2
Null		Connect 3
Null		Magia
Null		旅路(梦中飞行)
Null		歌に形はないけれど
Null		光芒与希望
Null		春の凑に(春之岸边)
Null		哀のテ`マB(哀的决意B)
Null		天衣op
Null		The Sore Feet Song
Null		与你同在 2
Null		你在我身边 2
Null		ロ`リンガ`ル(Rolling girl)
Null		Holiday
Null		ワ`ルズエンド ダンスホ`ル(世界终结舞厅)  by武士桑
Null		膝枕で过ごす放课后
Null		最棒的单相思
Null		永远同在 3
Null		春を知らせるもの
Null		家にると妻が必ず死んだふりをしています
Null		You
Null		魔女_の舞踏会
Null		Hello Alone-Yui Ballade
Null		"Rain Stops,Good-Bye 2"
Null		"夏色えがおで1,2,Jump!"
Null		命运与恋慕之心
Null		bgm
Null		てんとう虫(瓢虫)
Null		Sadness and sorrow
Null		宾克斯的美酒
Null		恋之实玖留传说
Null		鸟之人
Null		Hiroki's Melody
Null		星之所在
Null		Get over
Null		幽灵公主
Null		经典旋律
Null		命运の夜
Null		salty sailor
Null		兄弟
Null		魔法少女_の百年祭
Null		世界的约定 by南泽大介
Null		花苗的心情
Null		今はそのを置いて(现在先把剑放在一边)
Null		时を刻む呗
Null		红楼 ～ Eastern Dream
Null		Eyes on me
Null		郅筏皮毪肖螭订`い!
Null		花雪
Null		奏
Null		はぐれのブル`ス
Null		风的传说
Null		Grasswalk
Null		炉心融解
Null		Rainbow
Null		最终幻想经典旋律
Null		飞雪玉花
Null		命运
Null		チルノのすうがく教室
Null		热带鱼之梦
Null		不变的永远
Null		Vamo'Alla flamenco lonlonjp
Null		夕日の颜
Null		晴天好心情
Null		おてんば恋娘
Null		娜乌西卡的安魂曲
Null		"My soul,your beats"
Null		Graze the Roof
Null		曾有你的森林
Null		幽灵乐团
Null		もう歌しかこえない
Null		@のような恋でした
Null		人生的旋转木马
Null		Melodies of life
Null		斯毕拉的视野
Null		与你同在
Null		小区
Null		"を叩きながら てめ`の魂を叩き上げ(一边炼铁,一边炼就你的灵魂)"
Null		逆蝶
Null		黑猫警长OP
Null		Irony
Null		蓝染 2
Null		琥珀之爱
Null		四天王
Null		Believe me(in Ab)
Null		またあした(明天见)
Null		かしき|方の血 2
Null		晓之车
Null		L末の^ごし方より(如何度过周末)
Null		カラフル
Null		Hazy
Null		不可思议大冒险  2
Null		To Zanarkand
Null		Jack-in-the-Box Zombie
Null		银色 2
Null		孤独的巡礼
Null		三代火影的葬礼
Null		夏夕空
Null		月光的云海
Null		奏之曲
Null		文乃的幸福理论
Null		粽Zり
Null		幽灵盛典
Null		悲しみの向こうへ(向着悲伤的彼方)
Null		天马座的幻想
Null		被禁忌的游戏 by谀懿三
Null		DOP
Null		好想大声说爱你 by卢家宏
Null		风之丘
Null		相恋如樱
Null		Releas My Soul
Null		霞光
Null		命运之夜 2
Null		不可思议大冒险
Null		Fly me to the moon
Null		暮色n然
Null		天衣无缝 2
Null		"Rain Stops,Good-Bye"
Null		One more time One more chance
Null		植物保龄球
Null		晓之车 2
Null		HANABI(花火)
Null		嘘  by武士桑
Null		冬の花火
Null		那天的河川 3
Null		Brave Song 2
Null		Eyes on me 2
Null		Eyes on me  by南泽大介
Null		Butterfly 2
Null		@の木になろう(成为樱树吧)
Null		大力水手主题曲
